id,name,now_cost,position,team,dreamteam_count,goals_conceded,selected_rank_type,form,creativity_rank,ep_this,chance_of_playing_this_round,bonus,expected_assists,creativity,web_name,penalties_order,ict_index_rank,clean_sheets,ep_next,expected_goals_conceded,in_dreamteam,red_cards,expected_assists_per_90,threat,transfers_in,ict_index_rank_type,corners_and_indirect_freekicks_order,value_form,saves,news,total_points,expected_goals_per_90,cost_change_start,yellow_cards,goals_scored,threat_rank,chance_of_playing_next_round,points_per_game_rank_type,form_rank_type,value_season,influence_rank_type,direct_freekicks_order,minutes,bps,own_goals,news_added,points_per_game_rank,expected_goals,threat_rank_type,starts_per_90,penalties_saved,starts,event_points,expected_goals_conceded_per_90,points_per_game,assists,cost_change_start_fall,region,clean_sheets_per_90,cost_change_event_fall,goals_conceded_per_90,now_cost_rank,status,transfers_in_event,selected_by_percent,saves_per_90,influence,selected_rank,creativity_rank_type,ict_index,expected_goal_involvements_per_90,influence_rank,cost_change_event,now_cost_rank_type,penalties_missed,form_rank,expected_goal_involvements,transfers_out,transfers_out_event
99,Bryan Mbeumo,79,MID,Brentford,2,20,3,6.2,18,6.2,,12,2.67,299.4,Mbeumo,2.0,5,1,6.2,18.82,True,0,0.24,250.0,4773437,4,2.0,0.8,0,,76,0.35,9,2,8,30,,4,3,9.6,3,2.0,985,302,0,,5,3.88,17,1.01,0,11,5,1.72,6.9,1,-9,38.0,0.09,0,1.83,13,a,73900,43.4,0.0,393.8,4,14,94.5,0.59,5,0,9,0,9,6.55,715995,35881
100,Ben Mee,42,DEF,Brentford,0,2,100,0.0,422,0.0,,0,0.00,0.1,Mee,,430,0,0.0,0.46,False,0,0.0,0.0,15905,145,,0.0,0,,1,0.0,-3,0,0,472,,147,176,0.2,140,,4,1,0,,443,0.00,182,0.0,0,0,0,10.35,0.5,0,3,241.0,0.0,0,45.0,571,a,443,0.4,0.0,8.0,270,149,0.8,0.0,401,0,150,0,455,0.00,60428,784
101,Christian Nørgaard,48,MID,Brentford,0,16,122,2.5,152,2.5,100.0,0,0.17,88.2,Nørgaard,,125,0,2.5,14.27,False,0,0.02,85.0,24156,76,,0.5,0,,24,0.13,-2,2,1,127,100.0,64,49,5.0,36,,775,159,0,2024-09-21T20:30:05.370098Z,147,1.15,83,1.05,0,9,2,1.66,2.7,1,2,58.0,0.0,0,1.86,296,a,1736,0.2,0.0,183.2,349,103,35.7,0.15,102,0,196,0,120,1.32,15880,851
102,Frank Onyeka,49,MID,Brentford,0,0,266,0.0,407,0.0,0.0,0,0.02,0.5,Onyeka,,642,0,0.0,0.69,False,0,0.08,0.0,648,289,,0.0,0,Loaned to FC Augsburg,2,0.0,-1,0,0,630,0.0,197,269,0.4,288,,23,3,0,2024-08-31T06:32:02.183747Z,399,0.00,285,0.0,0,0,0,2.7,1.0,0,1,,0.0,0,0.0,274,u,0,0.0,0.0,0.0,610,216,0.0,0.08,641,0,179,0,616,0.02,3750,18
103,Myles Peart-Harris,45,MID,Brentford,0,0,257,0.0,570,0.0,0.0,0,0.00,0.0,Peart-Harris,,575,0,0.0,0.00,False,0,0.0,0.0,913,241,,0.0,0,Loaned to Swansea City,0,0.0,0,0,0,549,0.0,244,207,0.0,238,,0,0,0,2024-08-31T06:31:19.312069Z,578,0.00,233,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,398,u,0,0.0,0.0,0.0,599,243,0.0,0.0,572,0,240,0,530,0.00,4175,25
104,Ethan Pinnock,45,DEF,Brentford,0,22,70,2.5,192,2.5,,0,0.53,62.9,Pinnock,,49,0,2.5,19.73,False,0,0.05,167.0,152742,5,,0.6,0,,23,0.08,0,1,2,59,,68,33,5.1,3,,990,112,1,,209,0.84,3,1.0,0,11,1,1.79,2.1,0,0,107.0,0.0,0,2.0,381,a,1741,1.3,0.0,330.8,185,51,56.1,0.13,10,0,68,0,118,1.37,67532,3613
105,Mads Roerslev Rasmussen,44,DEF,Brentford,0,11,162,1.2,149,1.2,,0,0.56,90.7,Roerslev,,244,0,1.2,9.06,False,0,0.11,11.0,7166,80,,0.3,0,,12,0.0,-1,1,0,310,,103,70,2.7,89,,444,32,0,,316,0.01,99,0.81,0,4,0,1.84,1.3,1,1,58.0,0.0,0,2.23,509,a,50,0.1,0.0,84.8,452,32,18.8,0.11,239,0,109,0,226,0.57,9724,197
106,Kevin Schade,51,MID,Brentford,0,10,169,1.0,256,1.0,,0,0.06,36.7,Schade,,232,1,1.0,7.61,False,0,0.01,131.0,22654,117,,0.2,0,,18,0.27,-4,1,0,85,,138,119,3.5,141,,482,44,0,,295,1.46,52,0.93,0,5,0,1.42,1.6,1,4,80.0,0.19,1,1.87,183,a,77,0.1,0.0,49.6,459,152,21.6,0.28,301,-1,114,0,254,1.52,23436,330
107,Igor Thiago Nascimento Rodrigues,59,FWD,Brentford,0,0,72,0.0,671,0.0,0.0,0,0.00,0.0,Thiago,,671,0,0.0,0.00,False,0,0.0,0.0,826,71,,0.0,0,Knee injury - 50% chance of playing,0,0.0,-1,0,0,670,50.0,71,70,0.0,71,,0,0,0,2024-08-05T15:00:04.331164Z,670,0.00,71,0.0,0,0,0,0.0,0.0,0,1,30.0,0.0,0,0.0,87,d,23,0.0,0.0,0.0,602,71,0.0,0.0,671,0,26,0,661,0.00,2509,28
108,Ivan Toney,73,FWD,Brentford,0,0,35,0.0,678,0.0,0.0,0,0.00,0.0,Toney,,678,0,0.0,0.00,False,0,0.0,0.0,43376,75,,0.0,0,Transferred to Al-Ahli,0,0.0,-2,0,0,678,0.0,75,75,0.0,75,,0,0,0,2024-08-31T06:41:10.704245Z,677,0.00,75,0.0,0,0,0,0.0,0.0,0,2,,0.0,0,0.0,19,u,0,1.3,0.0,0.0,184,75,0.0,0.0,678,0,7,0,674,0.00,792979,732
