id,name,now_cost,position,team,expected_goals_conceded_per_90,ep_next,cost_change_start_fall,expected_goal_involvements_per_90,creativity,selected_rank,now_cost_rank,status,creativity_rank,bps,in_dreamteam,red_cards,bonus,goals_scored,ict_index_rank,chance_of_playing_next_round,threat_rank,now_cost_rank_type,goals_conceded_per_90,expected_goals_per_90,yellow_cards,expected_assists_per_90,own_goals,saves,ep_this,chance_of_playing_this_round,direct_freekicks_order,transfers_out,starts_per_90,clean_sheets_per_90,points_per_game_rank_type,threat_rank_type,creativity_rank_type,points_per_game_rank,transfers_in,form_rank_type,expected_goals,value_form,transfers_in_event,news_added,transfers_out_event,dreamteam_count,influence_rank_type,clean_sheets,saves_per_90,expected_goals_conceded,total_points,form_rank,penalties_saved,points_per_game,assists,cost_change_event,news,influence_rank,region,web_name,expected_goal_involvements,goals_conceded,selected_by_percent,cost_change_start,influence,form,corners_and_indirect_freekicks_order,cost_change_event_fall,ict_index_rank_type,value_season,expected_assists,ict_index,starts,penalties_missed,penalties_order,event_points,selected_rank_type,minutes,threat
13,Martin Ødegaard,82,MID,Arsenal,0.95,4.2,3,0.42,193.2,78,11,a,59,84,False,0,2,0,129,100.0,131,8,0.42,0.18,1,0.24,0,0,4.2,100.0,1.0,1354919,1.06,0.64,22,85,48,53,235265,43,0.83,0.4,33652,2024-09-10T00:30:06.311550Z,4361,0,100,3,0.0,4.48,20,88,0,4.0,2,0,,231,161.0,Ødegaard,1.95,2,4.4,-3,98.6,3.2,3.0,0,77,2.4,1.12,38.2,5,0,2.0,6,22,424,90.0
15,David Raya Martin,55,GKP,Arsenal,1.02,3.8,0,0.0,0.0,6,112,a,676,176,False,0,6,0,191,100.0,672,2,1.0,0.0,2,0.0,0,34,3.8,100.0,,1537847,1.0,0.33,8,72,72,52,1780171,14,0.00,0.5,35137,2024-09-25T21:30:06.211210Z,15631,1,11,4,2.83,12.26,48,113,0,4.0,0,0,,30,200.0,Raya,0.01,12,28.8,0,292.2,2.8,,0,11,8.7,0.01,29.3,12,0,,6,1,1080,0.0
16,Declan Rice,62,MID,Arsenal,1.0,3.2,3,0.21,229.4,115,66,a,37,122,False,1,0,0,92,100.0,132,42,1.3,0.08,2,0.13,0,0,2.4,75.0,2.0,536792,1.08,0.22,118,86,29,255,138582,68,0.74,0.4,1852,2024-11-07T09:00:07.142642Z,4718,0,57,2,0.0,9.23,19,150,0,1.9,1,-1,,156,241.0,Rice,1.97,12,2.5,-3,156.2,2.2,2.0,1,55,3.1,1.23,46.9,10,0,,0,35,832,89.0
17,Bukayo Saka,102,MID,Arsenal,0.85,7.5,-2,0.64,457.4,7,4,a,3,325,True,0,13,4,3,100.0,3,3,0.9,0.27,2,0.37,0,0,5.6,75.0,,3472740,1.1,0.4,2,2,3,2,3146192,6,2.75,0.6,311476,2024-11-10T23:00:07.191683Z,8477,3,4,4,0.0,8.51,80,11,0,7.3,8,1,,6,241.0,Saka,6.41,9,28.1,2,398.0,6.5,1.0,-1,2,7.8,3.66,131.1,11,0,1.0,13,4,902,457.0
18,William Saliba,60,DEF,Arsenal,0.93,3.8,0,0.06,37.5,12,81,a,261,160,False,1,1,0,231,100.0,322,6,0.97,0.0,2,0.06,0,0,3.8,100.0,,2659809,1.07,0.39,46,107,78,164,848603,30,0.00,0.5,37919,2024-10-19T19:30:06.564445Z,11305,0,50,4,0.0,9.62,30,115,0,2.7,0,0,,124,73.0,Saliba,0.59,10,22.5,0,178.8,2.8,,0,74,5.0,0.59,22.8,11,0,,7,4,929,10.0
20,Thomas Partey,50,MID,Arsenal,1.07,4.5,0,0.1,136.1,200,195,a,109,210,False,0,5,2,110,,214,122,1.06,0.05,2,0.05,0,0,4.5,,,183463,0.97,0.27,42,124,80,100,235418,35,0.57,0.7,4301,,2156,0,22,3,0.0,12.05,39,74,0,3.2,0,0,,64,81.0,Thomas,1.08,12,1.0,0,239.8,3.5,,0,67,7.8,0.51,42.4,11,0,,8,60,1017,46.0
21,Kieran Tierney,43,DEF,Arsenal,0.0,1.0,2,0.0,0.0,596,553,a,526,0,False,0,0,0,539,100.0,495,132,0.0,0.0,0,0.0,0,0,0.0,0.0,,4206,0.0,0.0,202,193,203,542,625,187,0.00,0.0,29,2024-08-12T14:30:04.394338Z,33,0,204,0,0.0,0.00,0,471,0,0.0,0,0,,535,243.0,Tierney,0.00,0,0.0,-2,0.0,0.0,,0,204,0.0,0.00,0.0,0,0,,0,200,0,0.0
22,Tomiyasu Takehiro,48,DEF,Arsenal,0.6,0.0,2,2.7,0.3,542,310,i,419,2,False,0,0,0,428,0.0,329,36,0.0,2.7,0,0.0,0,0,0.0,0.0,,7051,0.0,0.0,134,109,149,396,1297,221,0.18,0.0,19,2024-10-18T16:00:06.930143Z,42,0,153,0,0.0,0.04,1,603,0,1.0,0,0,Knee injury - Unknown return date,445,108.0,Tomiyasu,0.18,0,0.0,-2,0.4,0.0,,0,146,0.2,0.00,1.0,0,0,,0,191,6,9.0
23,Leandro Trossard,69,MID,Arsenal,0.75,3.0,1,0.3,148.9,147,27,a,91,123,False,1,3,2,79,100.0,49,15,1.07,0.23,0,0.07,0,0,2.2,75.0,,394141,1.07,0.4,64,30,67,152,324491,78,1.74,0.3,1386,2024-11-21T08:30:08.540890Z,6212,1,61,3,0.0,5.62,34,172,0,2.8,1,0,,168,21.0,Trossard,2.25,8,1.7,-1,144.0,2.0,,0,49,4.9,0.51,49.3,8,0,4.0,3,43,676,202.0
24,Benjamin White,62,DEF,Arsenal,1.28,0.0,3,0.06,55.3,99,65,i,223,112,False,0,0,0,243,0.0,248,4,0.91,0.02,2,0.04,0,0,0.0,0.0,,868257,0.91,0.39,35,73,57,128,144715,62,0.13,0.2,86,2024-11-14T13:00:07.861117Z,27363,0,74,3,0.0,9.87,27,202,0,3.0,1,0,Knee injury - Unknown return date,190,241.0,White,0.45,7,3.2,-3,128.4,1.5,,0,79,4.4,0.32,21.3,7,0,,0,40,694,29.0
